com/qq/jce/wup/UniAttribute.useVersion3, inclusiveCpuTime:31, inclusiveRealTime:30, call times:2, cpuTime:15/call, realTime:15/call
java/util/concurrent/ConcurrentLinkedQueue.add, inclusiveCpuTime:244, inclusiveRealTime:213, call times:2, cpuTime:122/call, realTime:106/call
java/security/KeyFactory.generatePublic, inclusiveCpuTime:702, inclusiveRealTime:916, call times:1, cpuTime:702/call, realTime:916/call
java/util/TimeZone.getCustomTimeZone, inclusiveCpuTime:2930, inclusiveRealTime:2961, call times:1, cpuTime:2930/call, realTime:2961/call
android/app/ContextImpl.validateFilePath, inclusiveCpuTime:6468, inclusiveRealTime:8546, call times:11, cpuTime:588/call, realTime:776/call
mqq/app/MainService$9.<init>, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
com/tencent/qphone/base/remote/SimpleAccount.isLogined, inclusiveCpuTime:91, inclusiveRealTime:91, call times:1, cpuTime:91/call, realTime:91/call
android/view/ViewRootImpl$RunQueue.executeActions, inclusiveCpuTime:92, inclusiveRealTime:122, call times:4, cpuTime:23/call, realTime:30/call
com/android/internal/view/IInputConnectionWrapper.executeMessage, inclusiveCpuTime:92, inclusiveRealTime:92, call times:1, cpuTime:92/call, realTime:92/call
com/tencent/smtt/sdk/TbsCoreLoadStat.getInstance, inclusiveCpuTime:30, inclusiveRealTime:30, call times:2, cpuTime:15/call, realTime:15/call
com/tencent/biz/AuthorizeConfig$1.<init>, inclusiveCpuTime:61, inclusiveRealTime:30, call times:15, cpuTime:4/call, realTime:2/call
com/tencent/mobileqq/webviewplugin/WebViewPluginEngine.setWebView, inclusiveCpuTime:12176, inclusiveRealTime:19409, call times:1, cpuTime:12176/call, realTime:19409/call
java/util/Formatter$FormatSpecifierParser.access$000, inclusiveCpuTime:62, inclusiveRealTime:60, call times:19, cpuTime:3/call, realTime:3/call
android/content/ContextWrapper.getSharedPreferences, inclusiveCpuTime:5799, inclusiveRealTime:6257, call times:3, cpuTime:1933/call, realTime:2085/call
android/webkit/WebView.setDownloadListener, inclusiveCpuTime:275, inclusiveRealTime:244, call times:2, cpuTime:137/call, realTime:122/call
android/view/Choreographer.postCallback, inclusiveCpuTime:1954, inclusiveRealTime:2136, call times:12, cpuTime:162/call, realTime:178/call
com/tencent/feedback/proguard/w.i, inclusiveCpuTime:519, inclusiveRealTime:1984, call times:1, cpuTime:519/call, realTime:1984/call
com/tencent/biz/webviewplugin/KeyInfo$2.onAdded, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/nio/Buffer.positionImpl, inclusiveCpuTime:1586, inclusiveRealTime:1463, call times:364, cpuTime:4/call, realTime:4/call
com/tencent/theme/SkinEngine.b, inclusiveCpuTime:6804, inclusiveRealTime:6899, call times:7, cpuTime:972/call, realTime:985/call
android/view/ViewTreeObserver$CopyOnWriteArray.start, inclusiveCpuTime:62, inclusiveRealTime:62, call times:2, cpuTime:31/call, realTime:31/call
com/tencent/mobileqq/activity/QQBrowserActivity.initBrowser, inclusiveCpuTime:2105, inclusiveRealTime:2106, call times:1, cpuTime:2105/call, realTime:2106/call
android/view/GLES20Canvas.nClipRect, inclusiveCpuTime:0, inclusiveRealTime:0, call times:2, cpuTime:0/call, realTime:0/call
java/util/concurrent/ScheduledThreadPoolExecutor$ScheduledFutureTask.compareTo, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/content/res/AssetManager.retrieveAttributes, inclusiveCpuTime:122, inclusiveRealTime:122, call times:3, cpuTime:40/call, realTime:40/call
java/util/concurrent/FutureTask.report, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/database/CursorWindow.nativeGetString, inclusiveCpuTime:3966, inclusiveRealTime:23250, call times:115, cpuTime:34/call, realTime:202/call
android/graphics/drawable/Drawable.createFromXmlInner, inclusiveCpuTime:20539, inclusiveRealTime:20569, call times:3, cpuTime:6846/call, realTime:6856/call
android/app/ContextImpl.warnIfCallingFromSystemProcess, inclusiveCpuTime:181, inclusiveRealTime:153, call times:10, cpuTime:18/call, realTime:15/call
java/nio/charset/Charset.cacheCharset, inclusiveCpuTime:3479, inclusiveRealTime:3480, call times:3, cpuTime:1159/call, realTime:1160/call
android/webkit/WebViewClassic.setWebChromeClient, inclusiveCpuTime:30, inclusiveRealTime:31, call times:1, cpuTime:30/call, realTime:31/call
java/util/Formatter$FormatSpecifierParser.advance, inclusiveCpuTime:274, inclusiveRealTime:245, call times:21, cpuTime:13/call, realTime:11/call
android/database/DefaultDatabaseErrorHandler.<init>, inclusiveCpuTime:91, inclusiveRealTime:61, call times:9, cpuTime:10/call, realTime:6/call
java/util/Arrays.toString, inclusiveCpuTime:93327, inclusiveRealTime:117167, call times:249, cpuTime:374/call, realTime:470/call
com/tencent/qphone/base/remote/SimpleAccount.getUin, inclusiveCpuTime:888, inclusiveRealTime:884, call times:18, cpuTime:49/call, realTime:49/call
com/tencent/feedback/proguard/w.h, inclusiveCpuTime:0, inclusiveRealTime:0, call times:2, cpuTime:0/call, realTime:0/call
android/widget/Toast$TN$2.<init>, inclusiveCpuTime:0, inclusiveRealTime:0, call times:2, cpuTime:0/call, realTime:0/call
java/lang/String.split, inclusiveCpuTime:6989, inclusiveRealTime:7198, call times:22, cpuTime:317/call, realTime:327/call
android/view/Choreographer.getFrameTimeNanos, inclusiveCpuTime:92, inclusiveRealTime:60, call times:4, cpuTime:23/call, realTime:15/call
java/nio/Buffer.remaining, inclusiveCpuTime:3760, inclusiveRealTime:3293, call times:822, cpuTime:4/call, realTime:4/call
java/util/concurrent/locks/AbstractQueuedSynchronizer.parkAndCheckInterrupt, inclusiveCpuTime:366, inclusiveRealTime:1495, call times:2, cpuTime:183/call, realTime:747/call
android/content/ContextWrapper.getPackageName, inclusiveCpuTime:1281, inclusiveRealTime:1343, call times:53, cpuTime:24/call, realTime:25/call
javax/microedition/khronos/egl/EGLContext.getEGL, inclusiveCpuTime:30, inclusiveRealTime:0, call times:1, cpuTime:30/call, realTime:0/call
android/app/ContextImpl.bindService, inclusiveCpuTime:4944, inclusiveRealTime:9735, call times:3, cpuTime:1648/call, realTime:3245/call
java/util/Arrays.toString, inclusiveCpuTime:764, inclusiveRealTime:763, call times:2, cpuTime:382/call, realTime:381/call
android/database/sqlite/SQLiteDatabase.finalize, inclusiveCpuTime:245, inclusiveRealTime:244, call times:6, cpuTime:40/call, realTime:40/call
